trendTime,all,one,two,three,half,res
2023-04-23 01:32:40,0.38,0.08,0.37,2.46,0.86,0.19
2023-04-23 01:52:42,0.37,0.08,0.37,2.48,0.85,0.18
2023-04-23 02:12:42,0.37,0.08,0.37,2.46,0.85,0.2
2023-04-23 02:32:42,0.37,0.08,0.37,2.47,0.86,0.2
2023-04-23 02:52:43,0.37,0.08,0.36,2.45,0.84,0.18
2023-04-23 03:12:41,0.37,0.08,0.37,2.47,0.85,0.2
2023-04-23 03:32:42,0.37,0.08,0.36,2.49,0.85,0.19
2023-04-23 03:52:44,0.37,0.08,0.37,2.49,0.85,0.18
2023-04-23 04:12:42,0.37,0.08,0.36,2.49,0.85,0.19
2023-04-23 04:32:43,0.37,0.08,0.37,2.47,0.85,0.19
2023-04-23 04:52:44,0.37,0.08,0.37,2.46,0.85,0.18
2023-04-23 05:12:43,0.37,0.08,0.37,2.46,0.85,0.19
2023-04-23 05:32:43,0.37,0.08,0.36,2.48,0.84,0.19
2023-04-23 05:52:43,0.37,0.08,0.36,2.47,0.85,0.18
2023-04-23 06:18:35,0.37,0.08,0.36,2.47,0.85,0.18
2023-04-23 06:38:36,0.37,0.08,0.37,2.46,0.86,0.18
2023-04-23 06:58:36,0.37,0.08,0.36,2.49,0.85,0.18
2023-04-23 07:18:36,0.37,0.08,0.36,2.51,0.85,0.18
2023-04-23 07:38:35,0.37,0.08,0.37,2.47,0.85,0.2
2023-04-23 07:58:36,0.37,0.08,0.36,2.45,0.85,0.18
2023-04-23 08:18:35,0.37,0.08,0.37,2.49,0.85,0.19
2023-04-23 08:38:35,0.37,0.08,0.37,2.49,0.86,0.18
2023-04-23 08:58:35,0.37,0.08,0.36,2.44,0.85,0.19
2023-04-23 09:18:35,0.37,0.08,0.36,2.48,0.85,0.18
2023-04-23 09:38:34,0.37,0.08,0.36,2.45,0.85,0.18
2023-04-23 09:58:34,0.38,0.08,0.37,2.47,0.85,0.19
2023-04-23 10:18:34,0.38,0.08,0.37,2.45,0.86,0.19
2023-04-23 10:38:34,0.37,0.08,0.37,2.47,0.85,0.18
2023-04-23 10:58:33,0.37,0.08,0.36,2.45,0.84,0.18
2023-04-23 11:18:35,0.37,0.08,0.36,2.48,0.85,0.18
2023-04-23 11:39:30,0.37,0.08,0.37,2.48,0.85,0.19
2023-04-23 11:59:30,0.37,0.08,0.37,2.46,0.85,0.19
2023-04-23 12:19:31,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-23 12:39:32,0.37,0.08,0.37,2.47,0.86,0.19
2023-04-23 12:59:32,0.37,0.08,0.36,2.46,0.85,0.18
2023-04-23 13:19:33,0.37,0.08,0.37,2.47,0.85,0.19
2023-04-23 13:39:31,0.37,0.08,0.37,2.47,0.85,0.18
2023-04-23 13:59:30,0.37,0.08,0.37,2.46,0.86,0.18
2023-04-23 14:19:29,0.37,0.08,0.36,2.5,0.85,0.18
2023-04-23 14:41:28,0.38,0.08,0.37,2.47,0.86,0.19
2023-04-23 15:01:28,0.37,0.08,0.36,2.5,0.85,0.19
2023-04-23 15:21:27,0.37,0.08,0.37,2.47,0.85,0.19
2023-04-23 15:41:26,0.37,0.08,0.36,2.45,0.84,0.18
2023-04-23 16:01:25,0.37,0.08,0.36,2.47,0.85,0.18
2023-04-23 16:21:25,0.37,0.08,0.37,2.47,0.85,0.19
2023-04-23 16:41:25,0.37,0.08,0.37,2.45,0.85,0.19
2023-04-23 17:01:27,0.37,0.08,0.37,2.47,0.86,0.18
2023-04-23 17:21:26,0.37,0.08,0.37,2.48,0.85,0.19
2023-04-23 17:41:25,0.37,0.08,0.37,2.44,0.85,0.19
2023-04-23 18:01:25,0.37,0.08,0.36,2.47,0.85,0.19
2023-04-23 18:21:26,0.37,0.08,0.36,2.49,0.84,0.19
2023-04-23 18:41:27,0.37,0.08,0.37,2.46,0.85,0.18
2023-04-23 19:01:25,0.37,0.08,0.37,2.46,0.85,0.18
2023-04-23 19:21:23,0.37,0.08,0.37,2.46,0.86,0.19
2023-04-23 19:41:22,0.37,0.08,0.37,2.47,0.85,0.18
2023-04-23 20:01:21,0.37,0.08,0.37,2.46,0.85,0.19
2023-04-23 20:21:22,0.37,0.08,0.36,2.46,0.84,0.18
2023-04-23 20:41:20,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-23 21:01:19,0.37,0.08,0.37,2.46,0.86,0.18
