time,GenPCal
2021-11-03 10:01:51.583,7586.11
2021-11-03 10:01:54.763,7588.72
2021-11-03 10:01:57.843,7574.52
2021-11-03 10:02:00.843,7581.57
2021-11-03 10:02:03.843,7590.33
2021-11-03 10:02:07.323,7582.85
2021-11-03 10:02:10.483,7577.09
2021-11-03 10:02:13.603,7589.06
2021-11-03 10:02:16.783,7581.98
2021-11-03 10:02:19.857,7597.21
2021-11-03 10:02:23.283,7575.53
2021-11-03 10:02:26.383,7572.0
2021-11-03 10:02:29.523,7590.29
2021-11-03 10:02:32.683,7576.68
2021-11-03 10:02:35.803,7590.7
2021-11-03 10:02:38.843,7577.42
2021-11-03 10:02:41.843,7591.26
2021-11-03 10:02:45.243,7574.77
2021-11-03 10:02:48.343,7582.53
2021-11-03 10:02:51.443,7597.23
2021-11-03 10:02:54.563,7579.61
2021-11-03 10:02:57.663,7584.89
2021-11-03 10:03:00.763,7576.33
2021-11-03 10:03:03.843,7593.27
2021-11-03 10:03:06.843,7593.34
2021-11-03 10:03:09.843,7578.39
2021-11-03 10:03:12.843,7570.87
2021-11-03 10:03:16.223,7589.59
2021-11-03 10:03:19.363,7579.54
2021-11-03 10:03:22.483,7592.82
2021-11-03 10:03:25.583,7571.99
2021-11-03 10:03:28.663,7588.94
2021-11-03 10:03:31.743,7586.61
2021-11-03 10:03:34.803,7573.34
2021-11-03 10:03:37.843,7595.81
2021-11-03 10:03:40.823,7582.79
2021-11-03 10:03:43.843,7581.64
2021-11-03 10:03:47.303,7573.79
2021-11-03 10:03:50.383,7591.87
2021-11-03 10:03:53.483,7592.59
2021-11-03 10:03:56.563,7570.28
2021-11-03 10:03:59.683,7586.36
2021-11-03 10:04:02.763,7589.13
2021-11-03 10:04:05.823,7574.08
2021-11-03 10:04:08.843,7590.38
2021-11-03 10:04:11.843,7588.22
2021-11-03 10:04:14.843,7573.64
2021-11-03 10:04:18.283,7578.12
2021-11-03 10:04:21.383,7591.18
2021-11-03 10:04:24.483,7585.57
2021-11-03 10:04:27.563,7572.39
2021-11-03 10:04:30.663,7587.98
2021-11-03 10:04:33.783,7585.12
2021-11-03 10:04:36.843,7573.59
2021-11-03 10:04:39.843,7592.63
2021-11-03 10:04:42.823,7588.83
2021-11-03 10:04:45.843,7571.52
2021-11-03 10:04:49.283,7578.44
2021-11-03 10:04:52.363,7586.7
2021-11-03 10:04:55.483,7583.88
2021-11-03 10:04:58.563,7576.04
2021-11-03 10:05:01.703,7589.8
2021-11-03 10:05:04.823,7575.67
2021-11-03 10:05:07.843,7576.24
2021-11-03 10:05:10.843,7592.38
2021-11-03 10:05:14.263,7572.39
2021-11-03 10:05:17.443,7585.77
2021-11-03 10:05:20.523,7576.84
2021-11-03 10:05:23.623,7587.54
2021-11-03 10:05:26.703,7584.35
2021-11-03 10:05:29.803,7570.99
2021-11-03 10:05:32.843,7582.41
2021-11-03 10:05:35.843,7579.69
2021-11-03 10:05:38.843,7581.32
2021-11-03 10:05:42.263,7571.11
2021-11-03 10:05:45.360,7582.05
2021-11-03 10:05:48.443,7589.46
2021-11-03 10:05:51.523,7573.82
2021-11-03 10:05:54.623,7593.96
2021-11-03 10:05:57.720,7574.8
2021-11-03 10:06:00.823,7584.36
2021-11-03 10:06:03.843,7588.19
2021-11-03 10:06:06.843,7573.81
2021-11-03 10:06:09.843,7578.83
2021-11-03 10:06:13.223,7593.71
2021-11-03 10:06:16.343,7571.7
2021-11-03 10:06:19.440,7589.92
2021-11-03 10:06:22.540,7574.77
2021-11-03 10:06:25.623,7580.14
2021-11-03 10:06:28.740,7596.21
2021-11-03 10:06:31.843,7579.7
