time,Ng,GenPCal
2021-11-02 12:20:22.293,12976.03,9546.05
2021-11-02 12:20:26.113,12968.43,9528.76
2021-11-02 12:20:29.653,12981.97,9524.91
2021-11-02 12:20:33.213,12969.28,9538.27
2021-11-02 12:20:36.633,12971.27,9541.93
2021-11-02 12:20:40.353,12980.69,9550.9
2021-11-02 12:20:43.633,12982.96,9521.69
2021-11-02 12:20:47.377,12971.99,9530.57
2021-11-02 12:20:50.653,12971.05,9537.65
2021-11-02 12:20:54.433,12977.26,9519.31
2021-11-02 12:20:57.653,12979.97,9535.05
2021-11-02 12:21:01.173,12976.88,9548.66
2021-11-02 12:21:04.633,12969.63,9522.89
2021-11-02 12:21:08.217,12970.39,9530.27
2021-11-02 12:21:11.730,12972.94,9548.17
2021-11-02 12:21:15.293,12982.13,9533.01
2021-11-02 12:21:19.140,12970.81,9531.92
2021-11-02 12:21:22.643,12974.69,9529.96
2021-11-02 12:21:26.520,12970.81,9522.98
2021-11-02 12:21:30.177,12976.37,9527.52
2021-11-02 12:21:33.770,12975.49,9538.82
2021-11-02 12:21:37.353,12979.23,9548.61
2021-11-02 12:21:40.633,12978.33,9520.21
2021-11-02 12:21:44.413,12967.32,9523.69
2021-11-02 12:21:47.653,12970.01,9548.23
2021-11-02 12:21:51.313,12976.51,9535.73
2021-11-02 12:21:54.653,12979.96,9523.0
2021-11-02 12:21:58.153,12977.09,9549.26
2021-11-02 12:22:01.653,12972.36,9530.51
2021-11-02 12:22:05.033,12977.68,9521.94
2021-11-02 12:22:08.493,12977.24,9537.72
2021-11-02 12:22:11.653,12979.33,9524.63
2021-11-02 12:22:15.053,12977.11,9536.1
2021-11-02 12:22:18.553,12976.08,9551.0
2021-11-02 12:22:21.653,12980.21,9525.83
2021-11-02 12:22:25.073,12972.61,9539.68
2021-11-02 12:22:28.433,12965.38,9527.03
2021-11-02 12:22:31.653,12971.05,9543.87
